rank,station_uuid,name,brand,city,post_code,fuel,fuel_label,customer_friendliness_score,price_level_score,stability_score,markdown_speed_score,noon_price_eur_l,span_cents,first_markdown_hour_after_12,markdown_by_14_cents,markdown_by_16_cents,markdown_by_18_cents,markdown_by_22_cents,cycle_days
9807,cd8ba6a6-d1a5-1ee5-9894-789ca47d9841,JET GELSENKIRCHEN URBAN-VON-VORST-WEG 1,JET,GELSENKIRCHEN,45894,diesel,Diesel,59.799,75.75,18.393,85.255,2.239,16.0,1.0,3.0,10.0,16.0,16.0,1
9807,e1a15081-2542-9107-e040-0b0a3dfe563c,"Wandlitz, Prenzlauer Chaussee 3",HEM,Wandlitz,16348,diesel,Diesel,59.799,75.75,18.393,85.255,2.239,16.0,1.0,2.0,5.0,16.0,16.0,1
9807,e1a15081-2596-9107-e040-0b0a3dfe563c,"Berlin, Schönerlinder Str. 60-61",HEM,Berlin,13127,diesel,Diesel,59.799,75.75,18.393,85.255,2.239,16.0,1.0,2.0,4.0,16.0,16.0,1
9811,005056ba-7cb6-1ed2-bceb-84020b5f4d2e,star Tankstelle,STAR,Hamm,59063,diesel,Diesel,59.797,66.426,51.262,61.704,2.249,14.0,1.0,6.0,7.0,9.0,11.0,1
9812,b1f83162-0d03-4811-a278-0ec4511d19f1,Esso Tankstelle,ESSO,WEIDEN,92637,e10,E10,59.792,15.456,78.828,85.092,2.189,9.0,1.0,14.0,14.0,14.0,14.0,1
9813,8c04eaa9-2423-454e-881f-0e4d943ada28,AGRAVIS Westfalen-Hessen GmbH,Raiffeisen,Netphen,57250,diesel,Diesel,59.788,75.75,81.577,22.036,2.239,10.0,5.0,0.0,0.0,11.0,11.0,1
9814,b8acbe5e-d445-07d7-e100-00000630df04,ENI,AGIP ENI,Schöllkrippen,63825,e10,E10,59.787,66.982,86.472,25.907,2.159,8.0,3.0,0.0,5.0,6.0,7.0,1
9815,cbcf450e-658a-4311-95ad-1f1bf866e3bb,K1 Tankstelle Knoop,K1 Tanstelle,Emstek,45685,e10,E10,59.785,60.739,90.112,28.503,2.164,7.0,3.0,0.0,5.0,7.0,7.0,1
9816,36b1de89-11e3-529d-8f56-46d112641b04,Leipzig,Hoyer,Leipzig,04158,e10,E10,59.784,83.156,86.472,9.725,2.139,8.0,4.0,0.0,1.0,4.0,4.0,1
9816,80401fbe-1c62-4bce-8527-d9c7a621a9d8,RWG TS Bad Frankenhausen,Raiffeisen Mansfeld,Bad Frankenhausen,06567,e10,E10,59.784,83.156,86.472,9.725,2.139,8.0,4.0,0.0,3.0,4.0,7.0,1
9816,cbaaa8ac-8cbb-4043-8310-d65bfabb6975,Elan Kassel,ELAN,Kassel,34134,e10,E10,59.784,66.982,90.112,22.257,2.159,7.0,3.0,0.0,4.0,4.0,4.0,1
