rank,station_uuid,name,brand,city,post_code,street,house_number,fuels,fuel_count,customer_friendliness_score,price_level_score,stability_score,markdown_speed_score,avg_noon_price_eur_l,avg_span_cents,median_first_markdown_hour_after_12,avg_markdown_by_16_cents,avg_markdown_by_18_cents,avg_markdown_by_22_cents,min_cycle_days,award_tier,award_label,award_top_percent
7366,3fc80ca1-bf0e-4219-bde8-c677a9604416,Aral Tankstelle,ARAL,Detmold,32758,Heidenoldendorfer Str.,16,diesel|e10|e5,3,43.2,47.183,44.917,37.501,2.222,12.67,3.0,6.33,10.0,11.0,1,,,
7367,9ac3cf63-673b-437d-90fb-d42d57bdc7f1,AVIA Tankstelle,AVIA,Burgbernheim,91593,Schloßgasse,8,diesel|e10|e5,3,43.19,10.486,45.427,73.657,2.252,12.67,1.0,8.67,11.67,11.67,1,,,
7368,ba911f03-5026-4f38-8348-e8d76266cb24,Shell Heide Hamburger Str. 85,Shell,Heide,25746,Hamburger Str.,85,diesel|e10|e5,3,43.187,25.834,47.846,55.881,2.236,12.67,2.0,6.67,10.67,11.67,1,,,
7369,4d1a59f9-8684-4998-bb88-2640e18099a9,TotalEnergies Herbstein,TotalEnergies,Herbstein,36358,Hessenstr.,79,diesel|e10|e5,3,43.186,43.339,34.471,51.749,2.226,13.33,2.0,7.33,9.67,12.33,1,,,
7370,b984d29b-ee6f-4195-8497-02c0edb9aa05,Iris Müller,Westfalen,Duisburg,47053,Wanheimer Str.,225,diesel|e10|e5,3,43.184,20.524,44.917,64.112,2.242,12.67,1.0,4.67,10.0,12.67,1,,,
7371,e6d75bd3-6c9d-4883-869e-bba46bb3dc79,Aral Tankstelle,ARAL,München,81249,Lochhausener Straße,229,diesel|e10|e5,3,43.181,34.537,60.168,34.838,2.229,11.67,3.0,6.33,9.33,10.0,1,,,
7372,aa7ec0ed-f087-48e5-95c1-bcb47affa5cf,Aral Tankstelle,ARAL,Arnsberg,59755,Möhneufer,2,diesel|e10|e5,3,43.174,47.183,13.78,68.558,2.222,15.67,2.0,8.33,14.33,15.0,1,,,
7373,f3163dd0-face-4096-8672-c105922a03b4,Elan Bremen,ELAN,Bremen,28779,Luessumer Str.,9,diesel|e10|e5,3,43.161,58.777,10.728,59.979,2.216,15.33,2.0,8.67,12.0,12.0,1,,,
7374,f90152dc-20e2-4fbd-1051-a98f0656b981,bft TS Nortrup,BFT,Nortrup,49638,Hauptstr.,8,diesel|e10|e5,3,43.157,2.447,41.989,85.034,2.306,12.67,1.0,14.0,17.0,17.67,1,,,
7375,9f1a3670-e6d6-48df-8c6c-3669e03a31a1,TotalEnergies Autohof Droyßig,TotalEnergies Autohof,Osterfeld,06721,BAB 9 Ausfahrt Droyßig/Im Heidegrund Sued,21B,diesel|e10|e5,3,43.156,25.834,60.168,43.464,2.236,11.67,3.0,7.67,10.33,10.67,1,,,
